EXCHANGE%3DCURRENCY
MARKET_OPEN_MINUTE=0
MARKET_CLOSE_MINUTE=1438
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
DATA=
TIMEZONE_OFFSET=0
a1369958280,1.16788019,0.00000000,0.00000000,0.00000000,0
1,1.1696936,0.0000000,0.0000000,0.0000000,0
4,1.17171306,0.00000000,0.00000000,0.00000000,0
5,1.17061623,0.00000000,0.00000000,0.00000000,0
6,1.17667052,0.00000000,0.00000000,0.00000000,0
7,1.17778752,0.00000000,0.00000000,0.00000000,0
8,1.17682889,0.00000000,0.00000000,0.00000000,0
11,1.17461276,0.00000000,0.00000000,0.00000000,0
12,1.17523825,0.00000000,0.00000000,0.00000000,0
13,1.17558187,0.00000000,0.00000000,0.00000000,0
14,1.17538512,0.00000000,0.00000000,0.00000000,0
15,1.17652572,0.00000000,0.00000000,0.00000000,0
18,1.17618362,0.00000000,0.00000000,0.00000000,0
19,1.16764347,0.00000000,0.00000000,0.00000000,0
20,1.16507241,0.00000000,0.00000000,0.00000000,0
21,1.17246927,0.00000000,0.00000000,0.00000000,0
22,1.17499837,0.00000000,0.00000000,0.00000000,0
25,1.17615238,0.00000000,0.00000000,0.00000000,0
26,1.1788646,0.0000000,0.0000000,0.0000000,0
27,1.17740945,0.00000000,0.00000000,0.00000000,0
28,1.17048229,0.00000000,0.00000000,0.00000000,0
29,1.16884173,0.00000000,0.00000000,0.00000000,0
32,1.16509279,0.00000000,0.00000000,0.00000000,0
33,1.16747363,0.00000000,0.00000000,0.00000000,0
34,1.17444083,0.00000000,0.00000000,0.00000000,0
35,1.16739211,0.00000000,0.00000000,0.00000000,0
36,1.16079788,0.00000000,0.00000000,0.00000000,0
39,1.16164111,0.00000000,0.00000000,0.00000000,0
40,1.16259337,0.00000000,0.00000000,0.00000000,0
41,1.15640554,0.00000000,0.00000000,0.00000000,0
42,1.15946598,0.00000000,0.00000000,0.00000000,0
43,1.15579186,0.00000000,0.00000000,0.00000000,0
46,1.15557942,0.00000000,0.00000000,0.00000000,0
47,1.15180068,0.00000000,0.00000000,0.00000000,0
48,1.15923814,0.00000000,0.00000000,0.00000000,0
49,1.16141706,0.00000000,0.00000000,0.00000000,0
50,1.16182723,0.00000000,0.00000000,0.00000000,0
53,1.16482146,0.00000000,0.00000000,0.00000000,0
54,1.16281887,0.00000000,0.00000000,0.00000000,0
55,1.1602652,0.0000000,0.0000000,0.0000000,0
56,1.15876372,0.00000000,0.00000000,0.00000000,0
57,1.15859682,0.00000000,0.00000000,0.00000000,0
60,1.1566575,0.0000000,0.0000000,0.0000000,0
61,1.14891816,0.00000000,0.00000000,0.00000000,0
62,1.14296242,0.00000000,0.00000000,0.00000000,0
63,1.14428673,0.00000000,0.00000000,0.00000000,0
64,1.15109791,0.00000000,0.00000000,0.00000000,0
67,1.15834531,0.00000000,0.00000000,0.00000000,0
68,1.15367858,0.00000000,0.00000000,0.00000000,0
69,1.16155013,0.00000000,0.00000000,0.00000000,0
70,1.16128823,0.00000000,0.00000000,0.00000000,0
71,1.16262426,0.00000000,0.00000000,0.00000000,0
74,1.16254184,0.00000000,0.00000000,0.00000000,0
75,1.16481277,0.00000000,0.00000000,0.00000000,0
76,1.16926243,0.00000000,0.00000000,0.00000000,0
77,1.17163601,0.00000000,0.00000000,0.00000000,0
78,1.17174673,0.00000000,0.00000000,0.00000000,0
81,1.17352095,0.00000000,0.00000000,0.00000000,0
82,1.16754858,0.00000000,0.00000000,0.00000000,0
83,1.17236878,0.00000000,0.00000000,0.00000000,0
84,1.16692251,0.00000000,0.00000000,0.00000000,0
